word,ppvt,strgth,close,betw,eigen,degree,freq,strgth-rank,close-rank,betw-rank,eigen-rank,degree-rank,freq-rank
shoulder,46,29.816502421173936,1.2435064167143504,7.0,0.8395242015539723,82,813,14.0,12.0,18.0,17.0,1.0,11.0
dressing,47,11.492787265451625,1.0753589752207706,0.0,0.1327996995211628,44,9,156.0,156.0,94.0,163.0,137.0,114.5
roof,48,17.98128794634249,1.1684696414400146,0.0,0.3430885013709598,66,369,30.0,30.0,94.0,33.0,39.5,22.0
peeking,49,15.123400100856088,1.1017545259517032,0.0,0.22947724877213724,64,6,42.0,43.0,94.0,63.0,45.5,123.0
ruler,50,13.001447607355658,1.0861031274892474,0.0,0.15985385467834287,51,47,101.0,101.0,94.0,142.0,98.5,70.0
tunnel,51,11.696908620535396,1.0768002048716951,0.0,0.14634950806400904,42,51,154.0,154.0,94.0,158.0,150.5,67.0
branch,52,12.712327606335748,1.0840538834150408,0.0,0.17229148155303278,41,523,113.0,114.0,94.0,116.0,156.5,14.0
envelope,53,14.764821029966697,1.099066941150112,0.0,0.2507737637266646,63,32,47.0,47.0,94.0,48.0,47.5,80.5
diamond,54,33.406218881194945,1.2706176886857936,112.0,1.0,75,209,1.0,2.0,1.0,1.0,13.5,38.0
buckle,56,28.626541250763694,1.237743364874132,31.0,0.8476569340050022,70,35,17.0,17.0,8.5,16.0,30.0,76.0
sawing,57,11.988643113727449,1.0789628782634155,0.0,0.15715660769722103,44,1,146.0,146.0,94.0,147.0,137.0,159.0
vest,59,12.33082895562984,1.0815693663320798,0.0,0.16933344790370408,46,20,131.0,129.0,94.0,125.0,129.0,92.0
arrow,60,22.001198134035803,1.1855057325648766,11.0,0.5597626935851234,62,281,29.0,28.0,16.0,28.0,50.0,30.0
picking,61,13.945146458339877,1.093287045643398,0.0,0.2210484259885906,57,8,60.0,59.0,94.0,68.0,72.0,117.5
target,62,12.807049292547163,1.0847066561808683,0.0,0.17026059882476752,49,10,111.0,111.0,94.0,122.0,109.5,110.5
dripping,63,13.146112635498866,1.0879727644257267,0.0,0.2226538180539582,52,18,88.0,84.0,94.0,66.0,94.0,93.0
knight,64,17.75192418685765,1.1502263965116655,0.0,0.34694116811411657,70,402,31.0,31.0,94.0,31.0,30.0,20.0
cactus,66,11.641481484984979,1.076408471271908,0.0,0.15614383187616904,44,2,155.0,155.0,94.0,149.0,137.0,148.0
dentist,67,12.343062191335775,1.0813880483786915,0.0,0.17827904314474197,49,3,128.0,130.0,94.0,107.0,109.5,138.0
floating,68,12.137269684666535,1.0800126871268698,0.0,0.1626482251910754,42,16,142.0,142.0,94.0,138.0,150.5,96.0
claw,69,12.47310835213284,1.082316136868425,0.0,0.15693448915243544,42,218,123.0,123.0,94.0,148.0,150.5,37.0
uniform,70,24.86891639820533,1.2070797787049026,0.0,0.6944121187756886,69,48,26.0,26.0,94.0,25.0,33.0,69.0
gigantic,71,14.30178734625224,1.095733784599459,0.0,0.2176539393654229,68,46,56.0,54.0,94.0,69.0,34.5,71.0
furry,72,13.295475609542336,1.0887182832598026,0.0,0.22764271107024242,51,16,82.0,80.0,94.0,65.0,98.5,96.0
violin,73,12.977467523305677,1.0859350239745162,0.0,0.17179670157241558,54,87,102.0,102.0,94.0,117.0,85.5,53.0
group,74,14.304306611884385,1.0956095072841758,0.0,0.24928698401149332,58,156,55.0,56.0,94.0,52.0,68.0,41.0
globe,75,13.327784653491108,1.088455490103736,0.0,0.2056384578610475,54,25,81.0,82.0,94.0,77.0,85.5,86.5
vehicle,76,12.511762603156967,1.0826570805442737,0.0,0.17128764874096433,48,16,122.0,122.0,94.0,120.0,118.5,96.0
chef,77,12.636861230246723,1.083679087902711,0.0,0.16425182750071526,51,2,118.0,117.0,94.0,134.0,98.5,148.0
squash,78,13.512794847149053,1.0897936461337294,0.0,0.23297972768325306,61,22,74.0,75.0,94.0,59.0,54.0,89.0
ax,79,13.155267106951214,1.087606334086908,0.0,0.2090769073923968,55,27,86.0,86.0,94.0,76.0,78.5,85.0
flamingo,80,12.162260808952851,1.0801899346201245,0.0,0.17143320663575395,44,13,139.0,139.0,94.0,119.0,137.0,102.5
chimney,81,13.97567489958601,1.0932811460411844,0.0,0.2099735783512963,55,147,59.0,60.0,94.0,74.0,78.5,44.0
sorting,82,11.93084355386236,1.0785066227467006,0.0,0.17400837575960548,46,1,147.0,148.0,94.0,115.0,129.0,159.0
waist,83,29.232026243349537,1.239585001049343,54.0,0.8742536392801392,71,155,16.0,15.0,3.0,14.0,26.0,42.0
vegetable,84,13.495928305084817,1.0898130615457093,0.0,0.23022755934285596,56,65,75.0,74.0,94.0,62.0,74.5,64.5
hyena,85,12.56136900902493,1.0829469265987588,0.0,0.1716865850940411,45,17,121.0,121.0,94.0,118.0,132.5,94.0
plumber,86,14.728975278238067,1.0986727015888889,0.0,0.26138620886656816,60,2,49.0,49.0,94.0,46.0,57.0,148.0
river,87,31.261300300131552,1.260245967914246,12.0,0.8989999533609203,81,962,10.0,4.0,15.0,12.0,2.5,10.0
timer,88,11.48355672811158,1.0753440820431837,0.0,0.14696064464983408,36,3,157.0,157.0,94.0,157.0,163.0,138.0
catching,89,13.125102406087535,1.0869932812906653,0.0,0.1666632746862606,49,3,90.0,92.0,94.0,129.0,109.5,138.0
