word,ppvt,strgth,close,betw,eigen,degree,freq
ball,1,8.366801781521644,381.66291458429134,112.0,0.6421038526446008,141,391
dog,2,7.112050111441931,356.7015142457927,5.0,0.5037322403759331,155,1327
spoon,3,8.560623122146353,293.25077232013405,16.0,0.627558354257006,145,87
foot,4,8.871540720108896,332.60376144505256,226.0,0.6711994609315377,140,2389
duck,5,10.060141549321997,344.6554858292034,424.0,0.731073426852206,142,344
banana,6,7.689336431096308,322.37467703997976,88.0,0.560246211983277,150,11
shoe,7,11.124503231083509,262.8617472698278,0.0,0.8756052002226077,129,433
cup,8,8.002828546072124,345.2965595996695,124.0,0.5819346577986979,146,304
eating,9,7.866393497301033,406.89306998879505,297.0,0.5713955671185542,148,49
bus,10,8.617350084357895,402.85422834376305,351.0,0.6261791235329399,142,7
flower,11,9.537186577101238,285.08552213704957,12.0,0.7316310932334995,139,1290
mouth,12,10.985166331520304,241.86833573447663,0.0,0.8587173133677334,132,1017
pencil,13,8.047117398877162,332.7576970424872,2.0,0.5799557575336726,147,79
cookie,14,8.000988222949672,266.6974734954863,7.0,0.5706455837517393,146,4
drum,15,7.320736579189543,323.6958286214663,45.0,0.5221175728655076,148,128
turtle,16,7.02943672031688,476.77955608918035,1278.0,0.5032606237404086,152,238
red,17,10.690386592817958,340.81171867021743,0.0,0.8481306949932206,134,2031
jumping,18,8.156927256204654,391.72189105560375,229.0,0.5810835100689015,142,33
carrot,19,7.621402976976242,371.9288525278814,186.0,0.5457706512685481,148,32
reading,20,6.552516635740176,372.9979552035312,66.0,0.4665658952529966,154,80
toe,21,7.586913121514954,308.3682703707702,6.0,0.5464597663005075,152,145
belt,22,7.592320005176589,370.08178471952255,315.0,0.5456537878778707,145,144
fly,23,10.00567893574771,326.8106569618383,134.0,0.7740961228745835,133,2337
painting,24,7.766057029788499,420.52528004935317,549.0,0.5633360299753997,147,13
dancing,25,8.633961122524852,450.2362562349913,1196.0,0.6179166156658971,147,69
whistle,26,7.935337079223245,230.64545105038889,0.0,0.5665797320252847,146,425
kicking,27,7.348494972426124,457.7614708880367,947.0,0.5235001497308757,148,10
lamp,28,7.36022879936354,463.0001423215311,983.0,0.5294317890842672,153,257
square,29,7.295772431301884,279.6815315227492,5.0,0.528540536225542,157,228
fence,30,9.893472023541108,344.66154808600396,141.0,0.7960807262940485,136,241
empty,31,9.121315533004235,349.76061294310597,2.0,0.6872480559226165,140,462
happy,32,8.864986038854113,306.7515387602458,78.0,0.6749807218236322,141,2333
fire,33,12.287578310992103,311.2312522334616,111.0,1.0,130,1397
castle,34,10.25927494010466,334.3530995368545,483.0,0.7534074839602373,140,714
squirrel,35,7.73708194973733,456.9612880135003,1411.0,0.5524721054615976,151,352
throwing,36,7.504738476782222,420.72760906580544,374.0,0.5434020280663678,150,3
farm,37,8.445826668525115,346.96536432106546,71.0,0.6032528558606467,145,302
penguin,38,7.640798759282916,491.46481055366814,1379.0,0.5569521069309032,154,1
gift,39,9.032434134336654,336.8900477825259,113.0,0.6856222621635302,139,437
feather,40,7.358469088867423,326.61423760221555,190.0,0.5220366734260508,153,367
cobweb,41,7.395216252654791,331.84710555035304,179.0,0.5339864545529388,153,22
elbow,42,7.57627702166792,291.5413876703835,22.0,0.5447055328218817,151,114
juggling,43,7.135725693944551,353.923568738045,275.0,0.5173795590368634,154,3
fountain,44,11.264285371813457,337.2599194418118,396.0,0.8390442325985731,136,191
net,45,7.475584915708168,492.21739385355545,2034.0,0.5465964112593501,153,85
shoulder,46,9.344811535003828,468.26565715476596,1163.0,0.7110348152774442,141,813
dressing,47,7.699810213007368,452.0234318388669,1693.0,0.5489958900324392,148,9
roof,48,9.447946946136653,190.69689301134576,0.0,0.6870639653745398,142,369
peeking,49,7.902705156855518,411.49276132994584,308.0,0.5643898825655375,151,6
ruler,50,7.708367394589004,332.22966719603784,364.0,0.5596513629242916,152,47
tunnel,51,7.986012936918996,315.5840290493695,95.0,0.575585657813839,148,51
branch,52,7.261134282176499,327.2908354975032,277.0,0.5126232609134921,156,523
envelope,53,7.343949711066671,354.7784460410723,115.0,0.5247347857752632,151,32
diamond,54,11.310139286491903,363.68304469899437,188.0,0.9140683551863338,136,209
buckle,56,10.763961140895844,317.7291678295641,46.0,0.7688154860634351,140,35
sawing,57,7.417782836098922,306.63081374601285,107.0,0.5306016478945381,153,1
vest,59,7.610682014026679,383.0197437266426,144.0,0.5417074941371129,144,20
arrow,60,9.66621699463576,276.23676041738395,36.0,0.7596411885943182,141,281
picking,61,8.413572678880882,318.65751198373965,21.0,0.5951692287167182,149,8
target,62,8.127507029887056,339.0632746272623,239.0,0.5871525935544334,149,10
dripping,63,7.04968097404344,317.3700940707698,52.0,0.5101511111701125,157,18
knight,64,9.790917157311924,326.47716479544374,30.0,0.7433862536644605,136,402
cactus,66,8.148254397354322,311.5133589176109,224.0,0.5891586939853343,145,2
dentist,67,8.209195861971239,267.02634085698764,81.0,0.5880545211815038,144,3
floating,68,7.801153973370674,475.84400470205685,959.0,0.5636742586464245,144,16
claw,69,6.914012657063722,452.76792732147436,176.0,0.5001645906176351,153,218
uniform,70,8.988507116882829,340.519038089268,199.0,0.6932750163565851,139,48
gigantic,71,8.803726283455035,388.0778808912011,533.0,0.6400079502831387,138,46
furry,72,7.236745572341533,474.0639158963028,950.0,0.5344942748623553,148,16
violin,73,8.930948105087737,426.5913312461152,11.0,0.6464130434217217,141,87
group,74,7.798005039283453,444.2403470128653,352.0,0.5654283249485387,148,156
globe,75,7.772427956777392,316.7124195915627,6.0,0.5590596153615526,150,25
vehicle,76,7.085878935991786,450.02084105031844,1496.0,0.5038798817266942,153,16
chef,77,7.182874524980434,357.55073900771066,274.0,0.5146816401717648,155,2
squash,78,7.911598217586288,400.01090123807745,0.0,0.5609982913225529,151,22
ax,79,8.601393585675396,333.4558298157159,269.0,0.6195969787319494,149,27
flamingo,80,7.733102199039422,250.19534739889855,4.0,0.5506291174234824,152,13
chimney,81,7.749883282638621,369.6223687846362,99.0,0.5615981866140678,151,147
sorting,82,7.036506033211481,244.0329368014031,102.0,0.5089523139584118,152,1
waist,83,11.385212514636805,365.3271876537652,116.0,0.8276878337394163,135,155
vegetable,84,7.800857409991295,454.69880652808405,1111.0,0.5652614096461598,148,65
hyena,85,7.658933761063963,372.50696136840145,69.0,0.5518846150358467,152,17
plumber,86,7.649773454118986,314.8014706971872,105.0,0.5562789323095187,150,2
river,87,9.24453881624504,457.8161648892738,494.0,0.7069444909036964,137,962
timer,88,7.5249327711189835,474.2746462877366,964.0,0.5382311760635821,149,3
catching,89,7.572267503972398,288.09696348138993,43.0,0.5649760778418899,149,3
trunk,90,7.579646764526842,429.72953916438075,420.0,0.5382973357308142,154,294
vase,91,7.492942947341362,357.74587243210163,241.0,0.5369815659937818,152,40
harp,92,7.612705457955599,388.49299236047943,536.0,0.5491479525530834,148,70
bloom,93,8.244880409445614,291.5365978800242,145.0,0.5791047380799953,140,226
horrified,94,7.315657822480716,367.7332592211933,223.0,0.5201425217474558,150,15
swamp,95,7.645240916019247,391.7269864861191,216.0,0.5413899895400234,152,65
heart,96,9.591862495668465,380.19363503073805,106.0,0.7298612451746849,134,3394
pigeon,97,7.534951249428559,369.85559659262225,0.0,0.5450480926285349,153,70
ankle,98,7.7134301831247285,292.48033900536507,6.0,0.5563248229518981,151,53
flaming,99,10.457024706847733,332.93004121226704,302.0,0.7735053482336145,137,12
wrench,100,8.182258986809757,271.5815353941216,67.0,0.5813568366967994,149,30
aquarium,101,7.4494580552564,269.10673839147745,11.0,0.5308677971879272,151,6
safe,103,9.426916408730904,346.2098479967414,127.0,0.678544677808831,142,787
boulder,104,7.94259224383859,362.28350125357383,227.0,0.5659477747853878,146,45
reptile,105,7.1953790086190565,352.5721942269412,126.0,0.5235092678421752,154,15
canoe,106,7.737637261510827,436.01169553762077,395.0,0.558054144478117,154,38
athlete,107,8.217241395497695,258.7780220125407,8.0,0.5901337944158819,153,1
luggage,109,7.684019064268796,409.875280703819,678.0,0.5476268291474345,154,21
vine,111,7.179299121256918,319.95659591905445,48.0,0.5150521258085212,155,100
digital,112,7.391998394174152,323.0805497234081,333.0,0.5311860444108543,151,2
predatory,114,7.55247086865711,294.60146124514995,10.0,0.5482456726655864,152,2
surprised,116,7.873961581324693,388.561578797613,283.0,0.5813790144125117,147,263
palm,117,8.357654791587265,317.9355609670895,204.0,0.6015887917226208,147,83
valley,119,9.031622109061573,347.75705265183456,41.0,0.6272117155366601,145,484
pastry,122,7.620545958983712,307.926132701224,43.0,0.5419650153053308,149,13
fragile,124,7.823113213496981,384.0610587726358,489.0,0.5608670119785223,151,11
solo,125,7.033948041149415,309.1219595699314,17.0,0.49677379328680116,151,11
